term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0009895,"negative regulation of catabolic process",0.034%,null,null,3.645,-2.1877,0.742,0.872,9057,1
GO:0009896,"positive regulation of catabolic process",0.072%,null,null,3.966,-2.3800,0.671,0.918,9057,1
GO:0009894,"regulation of catabolic process",0.146%,null,null,4.272,-4.8404,0.749,0.552,9057,1
GO:0006401,"RNA catabolic process",0.395%,null,null,4.705,-2.8904,0.766,0.867,9057,1
GO:1903052,"positive regulation of proteolysis involved in cellular protein catabolic process",0.034%,null,null,3.636,-1.4129,0.621,0.975,9057,1
GO:1903050,"regulation of proteolysis involved in cellular protein catabolic process",0.056%,null,null,3.853,-1.7375,0.661,0.975,9057,1
GO:0051603,"proteolysis involved in cellular protein catabolic process",0.759%,null,null,4.988,-3.3463,0.752,0.893,9057,1
GO:0044282,"small molecule catabolic process",1.273%,null,null,5.213,-2.0558,0.786,0.795,9057,1
GO:1901361,"organic cyclic compound catabolic process",1.164%,null,null,5.174,-2.8514,0.833,0.700,9057,1
GO:0006511,"ubiquitin-dependent protein catabolic process",0.584%,null,null,4.874,-2.5379,0.756,0.963,9057,1
GO:0034655,"nucleobase-containing compound catabolic process",0.760%,null,null,4.989,-3.1712,0.791,0.716,9057,1
GO:0045732,"positive regulation of protein catabolic process",0.054%,null,null,3.844,-1.3492,0.633,0.966,9057,1
GO:0030030,"cell projection organization",0.608%, 5.763, 1.312,4.892,-11.2381,0.701,0.000,30030,0
GO:0043087,"regulation of GTPase activity",0.510%, 2.819,-6.802,4.816,-3.5267,0.812,0.000,43087,0
GO:0045860,"positive regulation of protein kinase activity",0.134%,null,null,4.237,-2.4669,0.638,0.870,43087,1
GO:0001932,"regulation of protein phosphorylation",0.430%,null,null,4.742,-1.4503,0.688,0.966,43087,1
GO:0045859,"regulation of protein kinase activity",0.295%,null,null,4.579,-2.2906,0.681,0.933,43087,1
GO:0032270,"positive regulation of cellular protein metabolic process",0.445%,null,null,4.756,-1.9352,0.654,0.890,43087,1
GO:0019220,"regulation of phosphate metabolic process",0.579%,null,null,4.871,-2.2906,0.739,0.738,43087,1
GO:0051338,"regulation of transferase activity",0.368%,null,null,4.674,-1.8921,0.818,0.751,43087,1
GO:0043085,"positive regulation of catalytic activity",0.818%,null,null,5.021,-1.3439,0.804,0.921,43087,1
GO:0051347,"positive regulation of transferase activity",0.188%,null,null,4.382,-1.9654,0.816,0.745,43087,1
GO:0061097,"regulation of protein tyrosine kinase activity",0.016%,null,null,3.322,-2.9076,0.729,0.584,43087,1
GO:0061098,"positive regulation of protein tyrosine kinase activity",0.009%,null,null,3.086,-2.9535,0.685,0.857,43087,1
GO:0050730,"regulation of peptidyl-tyrosine phosphorylation",0.045%,null,null,3.759,-1.3565,0.726,0.876,43087,1
GO:0043549,"regulation of kinase activity",0.319%,null,null,4.612,-2.0510,0.732,0.965,43087,1
GO:0050731,"positive regulation of peptidyl-tyrosine phosphorylation",0.032%,null,null,3.612,-1.3509,0.676,0.919,43087,1
GO:0043547,"positive regulation of GTPase activity",0.470%,null,null,4.780,-2.4965,0.810,0.888,43087,1
GO:0031401,"positive regulation of protein modification process",0.303%,null,null,4.589,-1.6012,0.654,0.954,43087,1
GO:0018108,"peptidyl-tyrosine phosphorylation",0.188%,null,null,4.381,-1.3499,0.846,0.817,43087,1
GO:0042325,"regulation of phosphorylation",0.468%,null,null,4.779,-1.6813,0.742,0.974,43087,1
GO:0010923,"negative regulation of phosphatase activity",0.018%,null,null,3.354,-1.6925,0.774,0.742,43087,1
GO:0033674,"positive regulation of kinase activity",0.150%,null,null,4.283,-2.0696,0.675,0.955,43087,1
GO:2000479,"regulation of cAMP-dependent protein kinase activity",0.004%,null,null,2.677,-1.6515,0.756,0.614,43087,1
GO:0048193,"Golgi vesicle transport",0.297%,-4.496,-4.496,4.581,-9.4395,0.903,0.000,48193,0
GO:0031338,"regulation of vesicle fusion",0.020%,null,null,3.408,-1.8091,0.568,0.624,48193,1
GO:0006892,"post-Golgi vesicle-mediated transport",0.052%,null,null,3.822,-2.2118,0.909,0.669,48193,1
GO:0045956,"positive regulation of calcium ion-dependent exocytosis",0.003%,null,null,2.606,-1.5211,0.677,0.714,48193,1
GO:0099003,"vesicle-mediated transport in synapse",0.036%,null,null,3.660,-2.0405,0.914,0.650,48193,1
GO:0014059,"regulation of dopamine secretion",0.004%,null,null,2.744,-1.7375,0.734,0.737,48193,1
GO:0014046,"dopamine secretion",0.004%,null,null,2.744,-1.7375,0.826,0.964,48193,1
GO:0034762,"regulation of transmembrane transport",0.202%,null,null,4.414,-1.8216,0.763,0.839,48193,1
GO:0034765,"regulation of ion transmembrane transport",0.197%,null,null,4.404,-1.7926,0.761,0.707,48193,1
GO:0002090,"regulation of receptor internalization",0.006%,null,null,2.915,-1.4244,0.590,0.742,48193,1
GO:0060341,"regulation of cellular localization",0.194%,null,null,4.396,-1.7486,0.725,0.784,48193,1
GO:0043269,"regulation of ion transport",0.244%,null,null,4.496,-1.3929,0.758,0.853,48193,1
GO:0048511,"rhythmic process",0.077%,-0.177,-3.322,3.994,-2.4862,0.994,0.000,48511,0
GO:0006914,"autophagy",0.230%,-0.676, 0.795,4.470,-1.9208,0.956,0.029,6914,0
GO:0016311,"dephosphorylation",1.250%,-0.885, 3.048,5.205,-3.7688,0.902,0.034,16311,0
GO:0016071,"mRNA metabolic process",0.798%,-5.825, 1.902,5.010,-7.1307,0.881,0.128,16071,0
GO:0070647,"protein modification by small protein conjugation or removal",0.821%,-3.849, 4.950,5.023,-5.6059,0.863,0.146,70647,0
GO:0018193,"peptidyl-amino acid modification",1.495%,null,null,5.283,-2.2772,0.856,0.525,70647,1
GO:0022406,"membrane docking",0.099%, 3.643, 5.966,4.105,-2.6094,0.865,0.156,22406,0
GO:0007268,"chemical synaptic transmission",0.187%, 2.833,-1.839,4.381,-5.8582,0.799,0.164,7268,0
GO:0098916,"anterograde trans-synaptic signaling",0.187%,null,null,4.381,-5.8582,0.799,0.998,7268,1
GO:0050804,"modulation of synaptic transmission",0.057%,null,null,3.866,-4.5766,0.730,0.912,7268,1
GO:0099537,"trans-synaptic signaling",0.188%,null,null,4.382,-6.0061,0.799,0.998,7268,1
GO:0099536,"synaptic signaling",0.188%,null,null,4.383,-5.8410,0.803,0.873,7268,1
GO:0035249,"synaptic transmission, glutamatergic",0.012%,null,null,3.201,-2.1682,0.830,0.821,7268,1
GO:0048167,"regulation of synaptic plasticity",0.027%,null,null,3.543,-1.9527,0.733,0.865,7268,1
GO:0048169,"regulation of long-term neuronal synaptic plasticity",0.004%,null,null,2.697,-1.8091,0.760,0.763,7268,1
GO:0030182,"neuron differentiation",0.334%, 4.582, 3.653,4.632,-9.9940,0.649,0.173,30182,0
GO:0010720,"positive regulation of cell development",0.087%,null,null,4.047,-3.3057,0.570,0.919,30182,1
GO:2001222,"regulation of neuron migration",0.006%,null,null,2.917,-2.0132,0.582,0.728,30182,1
GO:0007409,"axonogenesis",0.118%,null,null,4.179,-1.5369,0.547,0.970,30182,1
GO:0051705,"multi-organism behavior",0.014%,null,null,3.263,-1.8690,0.972,0.763,30182,1
GO:0060996,"dendritic spine development",0.013%,null,null,3.229,-2.7326,0.597,0.901,30182,1
GO:0061001,"regulation of dendritic spine morphogenesis",0.005%,null,null,2.789,-2.3800,0.534,0.952,30182,1
GO:0061003,"positive regulation of dendritic spine morphogenesis",0.002%,null,null,2.338,-1.8784,0.527,0.904,30182,1
GO:0060998,"regulation of dendritic spine development",0.009%,null,null,3.044,-2.8377,0.524,0.947,30182,1
GO:0060997,"dendritic spine morphogenesis",0.007%,null,null,2.979,-3.0630,0.602,0.871,30182,1
GO:0022604,"regulation of cell morphogenesis",0.707%,null,null,4.958,-2.8847,0.487,0.950,30182,1
GO:0060999,"positive regulation of dendritic spine development",0.004%,null,null,2.736,-1.8108,0.510,0.927,30182,1
GO:0016358,"dendrite development",0.049%,null,null,3.800,-6.5698,0.575,0.840,30182,1
GO:0050773,"regulation of dendrite development",0.023%,null,null,3.465,-6.5635,0.503,0.931,30182,1
GO:0050775,"positive regulation of dendrite morphogenesis",0.005%,null,null,2.799,-4.5743,0.505,0.851,30182,1
GO:0050769,"positive regulation of neurogenesis",0.073%,null,null,3.973,-3.7333,0.545,0.959,30182,1
GO:0050767,"regulation of neurogenesis",0.146%,null,null,4.272,-5.3851,0.576,0.956,30182,1
GO:0021544,"subpallium development",0.005%,null,null,2.801,-1.6503,0.770,0.767,30182,1
GO:0030900,"forebrain development",0.071%,null,null,3.957,-2.0994,0.735,0.939,30182,1
GO:0000902,"cell morphogenesis",0.948%,null,null,5.085,-6.0273,0.581,0.829,30182,1
GO:0021537,"telencephalon development",0.044%,null,null,3.750,-2.7981,0.741,0.908,30182,1
GO:0000904,"cell morphogenesis involved in differentiation",0.188%,null,null,4.382,-4.5010,0.603,0.835,30182,1
GO:0022008,"neurogenesis",0.423%,null,null,4.735,-11.0250,0.653,0.916,30182,1
GO:0032990,"cell part morphogenesis",0.174%,null,null,4.349,-6.9614,0.626,0.645,30182,1
GO:0032989,"cellular component morphogenesis",0.994%,null,null,5.106,-6.0129,0.584,0.886,30182,1
GO:0010976,"positive regulation of neuron projection development",0.039%,null,null,3.695,-3.7844,0.460,0.942,30182,1
GO:0010975,"regulation of neuron projection development",0.081%,null,null,4.014,-5.6059,0.474,0.940,30182,1
GO:0007626,"locomotory behavior",0.061%,null,null,3.894,-3.5549,0.971,0.836,30182,1
GO:0021953,"central nervous system neuron differentiation",0.040%,null,null,3.706,-1.5319,0.686,0.869,30182,1
GO:0045161,"neuronal ion channel clustering",0.003%,null,null,2.508,-1.6419,0.651,0.686,30182,1
GO:0060173,"limb development",0.036%,null,null,3.663,-1.3880,0.781,0.601,30182,1
GO:0007612,"learning",0.029%,null,null,3.576,-1.4417,0.802,0.851,30182,1
GO:0030534,"adult behavior",0.040%,null,null,3.708,-4.1919,0.799,0.581,30182,1
GO:0045664,"regulation of neuron differentiation",0.117%,null,null,4.177,-5.8601,0.580,0.898,30182,1
GO:1900006,"positive regulation of dendrite development",0.009%,null,null,3.082,-4.1415,0.493,0.929,30182,1
GO:0048814,"regulation of dendrite morphogenesis",0.015%,null,null,3.289,-6.4689,0.508,0.908,30182,1
GO:0045666,"positive regulation of neuron differentiation",0.057%,null,null,3.868,-3.4693,0.550,0.918,30182,1
GO:0048813,"dendrite morphogenesis",0.034%,null,null,3.645,-8.2352,0.571,0.818,30182,1
GO:0048812,"neuron projection morphogenesis",0.164%,null,null,4.323,-7.1307,0.540,0.923,30182,1
GO:0051962,"positive regulation of nervous system development",0.089%,null,null,4.060,-5.2888,0.584,0.923,30182,1
GO:0051960,"regulation of nervous system development",0.172%,null,null,4.345,-7.0324,0.627,0.848,30182,1
GO:0048858,"cell projection morphogenesis",0.168%,null,null,4.333,-6.9614,0.585,0.990,30182,1
GO:0061564,"axon development",0.129%,null,null,4.217,-1.4989,0.551,0.934,30182,1
GO:0045597,"positive regulation of cell differentiation",0.168%,null,null,4.333,-1.6503,0.565,0.887,30182,1
GO:0035264,"multicellular organism growth",0.041%,null,null,3.720,-2.4973,0.785,0.582,30182,1
GO:0021826,"substrate-independent telencephalic tangential migration",0.002%,null,null,2.373,-1.3192,0.700,0.825,30182,1
GO:0031175,"neuron projection development",0.220%,null,null,4.451,-7.5887,0.537,0.946,30182,1
GO:0021843,"substrate-independent telencephalic tangential interneuron migration",0.002%,null,null,2.373,-1.3192,0.700,0.731,30182,1
GO:0060284,"regulation of cell development",0.174%,null,null,4.350,-5.7331,0.609,0.735,30182,1
GO:0001764,"neuron migration",0.030%,null,null,3.579,-1.8176,0.649,0.809,30182,1
GO:0048667,"cell morphogenesis involved in neuron differentiation",0.148%,null,null,4.278,-5.3845,0.569,0.915,30182,1
GO:0048666,"neuron development",0.270%,null,null,4.539,-8.2352,0.650,0.963,30182,1
GO:0060322,"head development",0.151%,null,null,4.287,-2.8024,0.787,0.587,30182,1
GO:0048699,"generation of neurons",0.366%,null,null,4.671,-10.3936,0.649,0.962,30182,1
GO:0090659,"walking behavior",0.008%,null,null,3.013,-1.3355,0.972,0.738,30182,1
GO:0021756,"striatum development",0.004%,null,null,2.667,-2.4689,0.773,0.642,30182,1
GO:0007417,"central nervous system development",0.191%,null,null,4.388,-3.4939,0.725,0.855,30182,1
GO:0007420,"brain development",0.142%,null,null,4.260,-3.0063,0.724,0.835,30182,1
GO:0048736,"appendage development",0.062%,null,null,3.901,-1.3880,0.773,0.626,30182,1
GO:0010770,"positive regulation of cell morphogenesis involved in differentiation",0.024%,null,null,3.491,-2.1740,0.515,0.770,30182,1
GO:0008344,"adult locomotory behavior",0.024%,null,null,3.480,-2.6423,0.805,0.840,30182,1
GO:0010769,"regulation of cell morphogenesis involved in differentiation",0.055%,null,null,3.852,-3.4512,0.533,0.816,30182,1
GO:0030029,"actin filament-based process",0.398%, 4.383, 4.966,4.708,-3.5458,0.851,0.176,30029,0
GO:0009081,"branched-chain amino acid metabolic process",0.463%, 2.448, 5.480,4.774,-1.8216,0.816,0.178,9081,0
GO:0007017,"microtubule-based process",0.658%, 4.683, 5.539,4.927,-7.1085,0.845,0.185,7017,0
GO:0006362,"transcription elongation from RNA polymerase I promoter",0.004%,-6.527,-0.324,2.697,-1.4417,0.915,0.206,6362,0
GO:0007049,"cell cycle",1.885%, 5.485, 4.375,5.384,-2.8182,0.832,0.208,7049,0
GO:0031503,"protein complex localization",0.062%,-4.884,-4.497,3.899,-9.3344,0.902,0.208,31503,0
GO:0033365,"protein localization to organelle",0.609%,null,null,4.893,-6.8336,0.850,0.862,31503,1
GO:0006895,"Golgi to endosome transport",0.012%,null,null,3.192,-1.8058,0.872,0.785,31503,1
GO:0006886,"intracellular protein transport",1.199%,null,null,5.187,-9.2808,0.835,0.600,31503,1
GO:0036465,"synaptic vesicle recycling",0.008%,null,null,3.004,-1.6921,0.820,0.857,31503,1
GO:1990778,"protein localization to cell periphery",0.063%,null,null,3.905,-2.5031,0.871,0.696,31503,1
GO:1903827,"regulation of cellular protein localization",0.132%,null,null,4.229,-1.5150,0.717,0.814,31503,1
GO:1904377,"positive regulation of protein localization to cell periphery",0.010%,null,null,3.124,-1.6000,0.690,0.894,31503,1
GO:1905475,"regulation of protein localization to membrane",0.024%,null,null,3.494,-1.6503,0.560,0.834,31503,1
GO:1904375,"regulation of protein localization to cell periphery",0.017%,null,null,3.337,-2.4378,0.745,0.626,31503,1
GO:0099504,"synaptic vesicle cycle",0.032%,null,null,3.617,-1.4575,0.884,0.645,31503,1
GO:0060178,"regulation of exocyst localization",0.002%,null,null,2.386,-1.3428,0.772,0.677,31503,1
GO:0042996,"regulation of Golgi to plasma membrane protein transport",0.004%,null,null,2.659,-1.9122,0.584,0.779,31503,1
GO:0072657,"protein localization to membrane",0.387%,null,null,4.696,-2.7786,0.602,0.823,31503,1
GO:0072659,"protein localization to plasma membrane",0.056%,null,null,3.854,-2.3800,0.641,0.911,31503,1
GO:0006605,"protein targeting",0.694%,null,null,4.949,-2.1664,0.841,0.874,31503,1
GO:0030705,"cytoskeleton-dependent intracellular transport",0.056%,null,null,3.857,-7.4930,0.879,0.687,31503,1
GO:0006403,"RNA localization",0.118%,null,null,4.179,-1.4323,0.901,0.607,31503,1
GO:1903076,"regulation of protein localization to plasma membrane",0.016%,null,null,3.325,-1.5571,0.566,0.971,31503,1
GO:0061512,"protein localization to cilium",0.010%,null,null,3.095,-5.9465,0.884,0.601,31503,1
GO:0097712,"vesicle targeting, trans-Golgi to periciliary membrane compartment",0.006%,null,null,2.873,-6.4238,0.602,0.931,31503,1
GO:0051656,"establishment of organelle localization",0.180%,null,null,4.364,-6.3765,0.863,0.905,31503,1
GO:0051640,"organelle localization",0.223%,null,null,4.456,-7.2805,0.872,0.724,31503,1
GO:0048199,"vesicle targeting, to, from or within Golgi",0.014%,null,null,3.247,-6.4238,0.769,0.886,31503,1
GO:0051650,"establishment of vesicle localization",0.072%,null,null,3.963,-7.2434,0.866,0.689,31503,1
GO:0006903,"vesicle targeting",0.017%,null,null,3.337,-6.4853,0.769,0.898,31503,1
GO:0016482,"cytosolic transport",0.076%,null,null,3.988,-2.3220,0.877,0.705,31503,1
GO:0051648,"vesicle localization",0.078%,null,null,4.001,-7.7345,0.871,0.847,31503,1
GO:0022402,"cell cycle process",1.053%, 5.119, 4.642,5.131,-2.4414,0.836,0.219,22402,0
GO:0051726,"regulation of cell cycle",0.547%,null,null,4.846,-1.6533,0.741,0.798,22402,1
GO:0016197,"endosomal transport",0.131%,-4.329,-5.430,4.225,-1.3492,0.932,0.230,16197,0
GO:0015931,"nucleobase-containing compound transport",0.198%,-4.969,-5.062,4.404,-2.1682,0.914,0.238,15931,0
GO:0051236,"establishment of RNA localization",0.101%,null,null,4.111,-1.4503,0.898,0.976,15931,1
GO:0050658,"RNA transport",0.100%,null,null,4.107,-1.5519,0.889,0.604,15931,1
GO:0050657,"nucleic acid transport",0.100%,null,null,4.108,-1.5519,0.916,0.899,15931,1
GO:0006813,"potassium ion transport",0.476%,-5.319,-4.813,4.786,-1.5444,0.921,0.256,6813,0
GO:1905349,"ciliary transition zone assembly",0.000%, 7.404,-1.158,1.556,-6.4238,0.729,0.272,1905349,0
GO:0097711,"ciliary basal body docking",0.001%,null,null,2.033,-1.8962,0.715,0.560,1905349,1
GO:0006353,"DNA-templated transcription, termination",0.185%,-6.170, 0.849,4.375,-1.5864,0.892,0.277,6353,0
GO:0006281,"DNA repair",2.234%,-4.408,-0.077,5.457,-4.1784,0.810,0.280,6281,0
GO:0006289,"nucleotide-excision repair",0.310%,null,null,4.599,-1.8019,0.838,0.764,6281,1
GO:1990928,"response to amino acid starvation",0.000%,null,null,1.602,-1.5799,0.950,0.635,6281,1
GO:0006974,"cellular response to DNA damage stimulus",2.360%,null,null,5.481,-3.8080,0.876,0.904,6281,1
GO:0034198,"cellular response to amino acid starvation",0.016%,null,null,3.304,-1.8996,0.889,0.543,6281,1
GO:0031669,"cellular response to nutrient levels",0.115%,null,null,4.169,-1.3987,0.885,0.835,6281,1
GO:0071233,"cellular response to leucine",0.002%,-1.466,-6.792,2.326,-1.9122,0.918,0.287,71233,0
GO:0043201,"response to leucine",0.002%,null,null,2.380,-2.0132,0.947,0.761,71233,1
GO:0032868,"response to insulin",0.041%,null,null,3.717,-1.5211,0.941,0.697,71233,1
GO:1902065,"response to L-glutamate",0.001%,null,null,1.929,-1.8108,0.950,0.726,71233,1
GO:0006397,"mRNA processing",0.561%,-5.770, 1.471,4.857,-4.1784,0.842,0.308,6397,0
GO:0048024,"regulation of mRNA splicing, via spliceosome",0.025%,null,null,3.512,-1.7964,0.750,0.950,6397,1
GO:0000245,"spliceosomal complex assembly",0.043%,null,null,3.744,-1.8019,0.672,0.741,6397,1
GO:0006376,"mRNA splice site selection",0.022%,null,null,3.455,-1.6087,0.685,0.705,6397,1
GO:0000956,"nuclear-transcribed mRNA catabolic process",0.137%,null,null,4.244,-2.2753,0.759,0.871,6397,1
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",0.017%,null,null,3.344,-3.1620,0.756,0.692,6397,1
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.318%,null,null,4.610,-3.1712,0.854,0.995,6397,1
GO:0000380,"alternative mRNA splicing, via spliceosome",0.021%,null,null,3.425,-3.4693,0.865,0.701,6397,1
GO:0000375,"RNA splicing, via transesterification reactions",0.320%,null,null,4.613,-3.0630,0.855,0.950,6397,1
GO:0000398,"mRNA splicing, via spliceosome",0.315%,null,null,4.607,-3.1712,0.838,0.876,6397,1
GO:1903311,"regulation of mRNA metabolic process",0.044%,null,null,3.755,-3.1239,0.759,0.743,6397,1
GO:0050684,"regulation of mRNA processing",0.035%,null,null,3.651,-1.9045,0.752,0.928,6397,1
GO:0043484,"regulation of RNA splicing",0.040%,null,null,3.705,-2.7228,0.759,0.511,6397,1
GO:0006402,"mRNA catabolic process",0.232%,null,null,4.475,-2.8514,0.750,0.852,6397,1
GO:0008380,"RNA splicing",0.413%,null,null,4.725,-3.8861,0.866,0.624,6397,1
GO:0031124,"mRNA 3'-end processing",0.066%,null,null,3.925,-2.9492,0.862,0.766,6397,1
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.030%,null,null,3.588,-1.5682,0.782,0.721,6397,1
GO:0090305,"nucleic acid phosphodiester bond hydrolysis",2.271%,-5.736, 2.498,5.464,-1.3901,0.883,0.319,90305,0
GO:0080182,"histone H3-K4 trimethylation",0.005%, 4.717, 0.402,2.799,-1.3428,0.745,0.324,80182,0
GO:0006508,"proteolysis",5.223%,-4.064, 4.600,5.826,-2.8204,0.901,0.355,6508,0
GO:0051174,"regulation of phosphorus metabolic process",0.580%, 2.204,-4.635,4.872,-2.2789,0.771,0.363,51174,0
GO:0050807,"regulation of synapse organization",0.032%, 5.473,-1.683,3.615,-7.8642,0.629,0.371,50807,0
GO:0032271,"regulation of protein polymerization",0.135%,null,null,4.239,-3.3116,0.611,0.854,50807,1
GO:0032273,"positive regulation of protein polymerization",0.091%,null,null,4.065,-2.7228,0.571,0.913,50807,1
GO:0030833,"regulation of actin filament polymerization",0.123%,null,null,4.198,-1.5575,0.551,0.969,50807,1
GO:0031334,"positive regulation of protein complex assembly",0.123%,null,null,4.198,-1.8176,0.565,0.934,50807,1
GO:0051247,"positive regulation of protein metabolic process",0.463%,null,null,4.774,-1.5575,0.680,0.726,50807,1
GO:0031346,"positive regulation of cell projection organization",0.056%,null,null,3.855,-5.6059,0.543,0.715,50807,1
GO:0031344,"regulation of cell projection organization",0.123%,null,null,4.199,-6.5042,0.580,0.664,50807,1
GO:0044782,"cilium organization",0.112%,null,null,4.156,-6.0061,0.654,0.752,50807,1
GO:0098885,"modification of postsynaptic actin cytoskeleton",0.000%,null,null,0.845,-1.4806,0.804,0.906,50807,1
GO:1902115,"regulation of organelle assembly",0.051%,null,null,3.815,-2.9492,0.623,0.794,50807,1
GO:0008154,"actin polymerization or depolymerization",0.153%,null,null,4.293,-1.8996,0.675,0.916,50807,1
GO:0044089,"positive regulation of cellular component biogenesis",0.193%,null,null,4.394,-5.6133,0.618,0.672,50807,1
GO:1905515,"non-motile cilium assembly",0.018%,null,null,3.368,-3.6540,0.666,0.877,50807,1
GO:0030838,"positive regulation of actin filament polymerization",0.082%,null,null,4.022,-1.8309,0.518,0.948,50807,1
GO:0099010,"modification of postsynaptic structure",0.000%,null,null,1.771,-1.3509,0.783,0.713,50807,1
GO:0051491,"positive regulation of filopodium assembly",0.005%,null,null,2.836,-1.4417,0.576,0.947,50807,1
GO:0051489,"regulation of filopodium assembly",0.009%,null,null,3.043,-2.4689,0.606,0.794,50807,1
GO:0033043,"regulation of organelle organization",0.495%,null,null,4.803,-6.7053,0.604,0.749,50807,1
GO:1902905,"positive regulation of supramolecular fiber organization",0.108%,null,null,4.141,-1.8091,0.560,0.854,50807,1
GO:1902903,"regulation of supramolecular fiber organization",0.166%,null,null,4.329,-2.7289,0.603,0.680,50807,1
GO:0099084,"postsynaptic specialization organization",0.002%,null,null,2.422,-3.4309,0.755,0.770,50807,1
GO:0051963,"regulation of synapse assembly",0.024%,null,null,3.493,-2.0521,0.504,0.975,50807,1
GO:0099068,"postsynapse assembly",0.002%,null,null,2.375,-3.5618,0.647,0.766,50807,1
GO:0051965,"positive regulation of synapse assembly",0.016%,null,null,3.319,-1.9252,0.482,0.952,50807,1
GO:0060271,"cilium assembly",0.104%,null,null,4.124,-6.4238,0.631,0.748,50807,1
GO:0097106,"postsynaptic density organization",0.002%,null,null,2.422,-2.4848,0.755,0.770,50807,1
GO:0035082,"axoneme assembly",0.018%,null,null,3.358,-6.4238,0.648,0.876,50807,1
GO:0051094,"positive regulation of developmental process",0.258%,null,null,4.521,-1.4503,0.641,0.689,50807,1
GO:0031113,"regulation of microtubule polymerization",0.012%,null,null,3.180,-1.4015,0.600,0.732,50807,1
GO:0051130,"positive regulation of cellular component organization",0.374%,null,null,4.681,-6.9614,0.579,0.598,50807,1
GO:0030031,"cell projection assembly",0.296%,null,null,4.579,-5.2783,0.635,0.810,50807,1
GO:0007416,"synapse assembly",0.038%,null,null,3.685,-2.9431,0.589,0.911,50807,1
GO:0030041,"actin filament polymerization",0.128%,null,null,4.215,-2.8327,0.651,0.913,50807,1
GO:0043254,"regulation of protein complex assembly",0.198%,null,null,4.405,-3.5849,0.606,0.880,50807,1
GO:0034660,"ncRNA metabolic process",3.407%,-5.199, 2.273,5.641,-1.3046,0.865,0.376,34660,0
