gene,MCX20,MCX21,p_val,avg_logFC,pct.1,pct.2,p_val_adj,status,gene-name,chromosome,genetic-category,gene-score,syndromic,number-of-reports
CNTN5,4.011972639206575,3.9624828256373745,0.008599015336935042,0.04948981356920035,0.928,0.946,1,9,Contactin 5,11,"Rare Single Gene Mutation, Genetic Association",2,0,9
TRPC6,0.4751160800287147,0.5368381292749409,1.2707067387145052e-16,-0.061722049246226374,0.145,0.207,2.2148418455793826e-12,9,"Transient receptor potential cation channel, subfamily C, member 6",11,Rare Single Gene Mutation,2,0,3
GUCY1A2,1.6169320875085351,1.5266350287422321,6.289631304279556e-6,0.09029705876630323,0.612,0.629,0.10962827363359266,9,guanylate cyclase 1 soluble subunit alpha 2,11,"Rare Single Gene Mutation, Genetic Association",3,0,2
PCDH9,3.5249546509586516,3.8258072915776156,6.725255299694203e-166,-0.300852640618964,0.952,0.978,1.1722119987366997e-161,9,protocadherin 9,13,"Rare Single Gene Mutation, Genetic Association",3,0,7
INTS6,0.36592262748602616,0.31747105506246504,0.44267056223326007,0.04845157242356124,0.126,0.125,1,9,Integrator complex subunit 6,13,Rare Single Gene Mutation,2,0,4
NBEA,2.5481434830921867,2.7087972202140804,2.779042441399636e-51,-0.16065373712189368,0.888,0.94,4.843870975359565e-47,9,neurobeachin,13,"Rare Single Gene Mutation, Syndromic, Functional",1,0,18
BRCA2,0.10951747008644386,0.12538825767089448,0.0029017176852517246,-0.015870787584450666,0.034,0.044,1,9,"breast cancer 2, early onset",13,Rare Single Gene Mutation,3,0,4
KATNAL1,0.7013750812826409,0.8028027963948898,5.744224349398618e-18,-0.10142771511224913,0.249,0.33,1.0012183041001791e-13,9,katanin catalytic subunit A1 like 1,13,"Rare Single Gene Mutation, Functional",3,0,2
CDK8,0.48039994619808507,0.6056571998005126,1.753004050455211e-26,-0.12525725360242745,0.16,0.242,3.0554860599434325e-22,9,cyclin dependent kinase 8,13,Syndromic,NA,1,1
SLITRK5,0.34710942473752765,0.38593451445394666,6.329135402249433e-8,-0.03882508971641896,0.114,0.15,0.001103168300612076,9,SLIT and NTRK like family member 5,13,"Rare Single Gene Mutation, Functional",2,0,9
GPC6,3.450475294369823,3.175575053961417,4.711829152994644e-155,0.2749002404084062,0.952,0.944,8.212718213669665e-151,9,glypican 6,13,"Rare Single Gene Mutation, Genetic Association",3,0,8
ASMT,0.021003894661620663,0.017512541547800492,0.7195830276836559,0.003491353113820213,0.005,0.005,1,9,acetylserotonin O-methyltransferase,"X,Y","Rare Single Gene Mutation, Genetic Association",3,0,9
TUBGCP5,0.14225021002005356,0.16394539885614048,1.1435790895084653e-5,-0.021695188836086954,0.045,0.063,0.1993258353013255,9,"tubulin, gamma complex associated protein 5",15,Rare Single Gene Mutation,3,0,4
CYFIP1,0.5872991141771966,0.6165818951386226,2.965369677242328e-6,-0.02928278096142589,0.203,0.245,0.05168639347433378,9,cytoplasmic FMR1 interacting protein 1,15,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,16
NIPA2,0.3328837596994374,0.33707125987192854,0.005644072475277328,-0.004187500172491199,0.111,0.128,1,9,non imprinted in Prader-Willi/Angelman syndrome 2,15,Rare Single Gene Mutation,3,0,2
NIPA1,0.17942584550458973,0.1868060920517231,0.012372028722992248,-0.007380246547133429,0.054,0.065,1,9,non imprinted in Prader-Willi/Angelman syndrome 1,15,Rare Single Gene Mutation,3,0,5
GABRG3,0.45873910676037816,0.5272712865586016,1.0657194946460463e-4,-0.0685321797982234,0.092,0.113,1,9,gamma-aminobutyric acid type A receptor gamma3 subunit,15,Genetic Association,2,0,9
GABRB3,1.4560621341596576,1.7821544696775165,8.05519222406831e-95,-0.3260923355178589,0.503,0.685,1.4040200046551065e-90,9,"gamma-aminobutyric acid (GABA) A receptor, beta 3",15,"Rare Single Gene Mutation, Genetic Association",2,0,37
ATP10A,0.292660078363099,0.35869275280919843,6.707773038527278e-8,-0.06603267444609945,0.078,0.108,0.0011691648406153045,9,Probable phospholipid-transporting ATPase VA,15,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,8
UBE3A,0.8036236988049172,0.8440678785057927,9.35562361090131e-9,-0.040444179700875216,0.297,0.363,1.6306851953800983e-4,9,ubiquitin protein ligase E3A,15,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,27
NPAS2,0.7292038970422038,0.6536202896079252,0.20011940188104124,0.07558360743427861,0.256,0.257,1,9,neuronal PAS domain protein 2,2,Genetic Association,3,0,4
IL1R2,0.007290668946621931,0.012127823066974337,0.01322704903391087,-0.0048371541203524404,0.002,0.004,1,9,"interleukin 1 receptor, type II",2,Rare Single Gene Mutation,3,0,6
POU3F3,0.47143092850116874,0.5318821281012674,4.753122876190536e-13,-0.060451199600098815,0.156,0.212,8.284693173200103e-9,9,POU class 3 homeobox 3,2,Syndromic,NA,1,1
MYO16,0.9749038947531238,1.1443504404687406,1.8124129864117793e-33,-0.1694465457156169,0.307,0.423,3.1590358353157315e-29,9,myosin XVI,13,"Rare Single Gene Mutation, Genetic Association",3,0,8
NLGN4X,1.5119126023179952,1.608558244919239,1.3219098505127857e-15,-0.09664564260124386,0.505,0.612,2.3040888694437855e-11,9,"neuroligin 4, X-linked",X,"Rare Single Gene Mutation, Genetic Association",2,0,33
TBL1X,1.6895612872663386,1.6383461591221216,0.05372699523009462,0.051215128144217026,0.651,0.689,1,9,transducin (beta)-like 1X-linked,X,Genetic Association,3,0,1
OFD1,0.150684143690363,0.13030971363567714,0.8422409577390562,0.02037443005468581,0.047,0.047,1,9,"OFD1, centriole and centriolar satellite protein",X,Rare Single Gene Mutation,3,0,2
GLRA2,1.3570100401296676,1.2911475639594248,0.20654708344424444,0.06586247617024288,0.474,0.501,1,9,"glycine receptor, alpha 2",X,"Rare Single Gene Mutation, Functional",3,0,15
SYAP1,0.649436478628048,0.9878111010411611,6.348173731762036e-104,-0.3383746224131131,0.228,0.412,1.1064866814461228e-99,9,Synapse associated protein 1,X,Rare Single Gene Mutation,3,0,2
CDKL5,2.6859649323957893,2.754652131336232,6.990012694950188e-14,-0.06868719894044295,0.91,0.936,1.2183592127298177e-9,9,cyclin-dependent kinase-like 5,X,"Rare Single Gene Mutation, Syndromic",1,0,36
RPS6KA3,1.0882603735831253,1.1747499869591653,9.304033434426919e-14,-0.08648961337604,0.413,0.507,1.621693027620612e-9,9,"Ribosomal protein S6 kinase, 90kDa, polypeptide 3",X,"Rare Single Gene Mutation, Syndromic",3,1,9
CNKSR2,2.843994660464599,2.960792497368332,5.597228449021616e-36,-0.11679783690373302,0.925,0.944,9.755969186644677e-32,9,connector enhancer of kinase suppressor of Ras 2,X,"Rare Single Gene Mutation, Syndromic",2,1,5
PTCHD1,1.3950027376084027,1.170806261549535,2.3592790144430278e-26,0.22419647605886772,0.529,0.49,4.1122233221741974e-22,9,patched domain containing 1,X,"Rare Single Gene Mutation, Genetic Association",1,0,11
ARX,0.6428470181894841,0.7189112845377224,1.0704338926033276e-15,-0.07606426634823826,0.207,0.279,1.8657662748076e-11,9,aristaless related homeobox,X,"Rare Single Gene Mutation, Syndromic",1,0,17
IL1RAPL1,3.3673831026863716,3.414992267429726,2.256448168640057e-9,-0.047609164743354526,0.969,0.98,3.93298915793962e-5,9,interleukin 1 receptor accessory protein-like 1,X,Rare Single Gene Mutation,3,0,22
TSPAN7,1.9597822795244233,1.9018671578354727,0.004915134821080048,0.05791512168895063,0.768,0.804,1,9,tetraspanin 7,X,Rare Single Gene Mutation,3,0,7
DDX3X,1.333146586476641,1.499954079279401,5.442988733801355e-38,-0.16680749280276008,0.528,0.667,9.48712936301576e-34,9,"DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked",X,"Rare Single Gene Mutation, Syndromic",1,0,19
CASK,1.668182333364046,1.6009681012619925,0.002877656625409372,0.06721423210205324,0.655,0.688,1,9,calcium/calmodulin dependent serine protein kinase,X,"Rare Single Gene Mutation, Syndromic",1,0,15
KDM6A,1.580556478006716,1.551866150118155,0.5434916152033142,0.028690327888561296,0.624,0.681,1,9,lysine demethylase 6A,X,"Rare Single Gene Mutation, Syndromic",2,0,7
DSCAM,3.2047344429628093,3.229108302296849,0.1648090399015425,-0.024373859334039683,0.901,0.898,1,9,Down syndrome cell adhesion molecule,21,"Rare Single Gene Mutation, Genetic Association",1,0,8
HMGN1,0.21582978766216218,0.23662591039960476,3.293688423690884e-5,-0.020796122737442524,0.062,0.082,0.5740898922493212,9,high mobility group nucleosome binding domain 1,21,Genetic Association,2,0,1
ERG,0.05065391446526888,0.0553182906546882,0.42404940212859404,-0.0046643761894191935,0.012,0.011,1,9,"ERG, ETS transcription factor",21,Genetic Association,3,0,1
KCNJ15,0.003794429355693272,6.282950620249785e-4,0.4823288916179868,0.0031661342936684265,0.001,0,1,9,potassium voltage-gated channel subfamily J member 15,21,Rare Single Gene Mutation,3,0,3
DYRK1A,0.9053171787529007,0.9751373486185776,2.992162985587909e-15,-0.06982016986567685,0.331,0.423,5.215340083879726e-11,9,Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,21,"Rare Single Gene Mutation, Syndromic, Functional",1,0,42
APBB1,0.3763747350641397,0.33477592443440696,0.586650630399926,0.04159881062973286,0.122,0.121,1,9,amyloid beta precursor protein binding family B member 1,11,"Rare Single Gene Mutation, Functional",2,0,3
CEP41,0.1094134776150492,0.14214087324267016,5.223565458845785e-8,-0.032727395627620934,0.034,0.054,9.104674594768203e-4,9,"testis specific, 14",7,"Rare Single Gene Mutation, Syndromic",2,0,5
PLXNA4,0.6378644789028831,0.734648336538725,3.9181165236247303e-13,-0.09678385763584196,0.123,0.17,6.829277100677905e-9,9,Plexin A4,7,"Rare Single Gene Mutation, Functional",2,0,4
CACNA2D1,2.9811105947471312,2.8386640096872706,1.6993682863404783e-44,0.14244658505986063,0.929,0.926,2.9619989230914536e-40,9,calcium voltage-gated channel auxiliary subunit alpha2delta 1,7,Rare Single Gene Mutation,3,0,3
RELN,0.9392357371461877,1.0783767989764521,1.396636231809688e-23,-0.13914106183026442,0.282,0.372,2.4343369520442863e-19,9,Reelin,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,51
KMT2E,1.33708416709955,1.3149927817368203,0.7004526284483217,0.022091385362729588,0.527,0.579,1,9,Lysine (K)-specific methyltransferase 2E,7,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,1,7
PIK3CG,0.13749900981937196,0.19988364651512114,2.897016308718862e-15,-0.06238463669574923,0.042,0.076,5.049499426096976e-11,9,"phosphoinositide-3-kinase, catalytic, gamma polypeptide",7,Genetic Association,3,0,4
LAMB1,0.0072609593803197115,0.007144241505581903,0.4199904234131845,1.1671787473782006e-4,0.002,0.002,1,9,"laminin, beta 1",7,"Rare Single Gene Mutation, Genetic Association",2,0,7
POT1,0.1825716851819177,0.18959446947405478,0.002167390412822514,-0.007022784292137069,0.057,0.071,1,9,Protection of telomeres 1 homolog (S. pombe),7,Rare Single Gene Mutation,3,0,1
GPR37,0.12724621825795226,0.13600551323034688,0.0747325331104122,-0.00875929497239461,0.034,0.04,1,9,G protein-coupled receptor 37,7,Rare Single Gene Mutation,3,0,2
NDUFA5,0.143975976284275,0.1264359313957084,0.8088005441887156,0.017540044888566697,0.043,0.044,1,9,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa",7,Genetic Association,3,0,3
CADPS2,2.808394146166523,2.745048767567669,4.251148890259483e-9,0.06334537859885403,0.812,0.77,7.40975251572228e-5,9,Ca2+-dependent activator protein for secretion 2,7,"Rare Single Gene Mutation, Functional",3,0,12
KCND2,2.140463653698943,2.2910929510026716,2.071819739073185e-25,-0.15062929730372865,0.723,0.809,3.611181805204562e-21,9,potassium voltage-gated channel subfamily D member 2,7,"Rare Single Gene Mutation, Genetic Association",3,0,6
CTTNBP2,0.9633553661107492,0.977980885285285,3.9131785023800924e-7,-0.014625519174535806,0.326,0.393,0.006820670129648501,9,cortactin binding protein 2,7,"Rare Single Gene Mutation, Syndromic",2,0,8
ST7,1.0225609143660332,1.0319489091361578,8.550214541251901e-7,-0.00938799477012453,0.377,0.45,0.014903023945402064,9,suppression of tumorigenicity 7,7,Rare Single Gene Mutation,3,0,4
MET,0.012122971104295704,0.01308188365107557,0.882866890930575,-9.589125467797457e-4,0.004,0.005,1,9,met proto-oncogene (hepatocyte growth factor receptor),7,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,37
FOXP2,2.39212621176113,2.4193720162950973,0.26425475036530915,-0.02724580453396719,1,1,1,9,forkhead box P2,7,"Rare Single Gene Mutation, Genetic Association",2,0,42
GPR85,0.8399212874995791,0.8853358010304254,1.5716057857040248e-9,-0.04541451353084636,0.298,0.37,2.7393088844821152e-5,9,G protein-coupled receptor 85,7,"Rare Single Gene Mutation, Genetic Association",3,0,4
DOCK4,1.5214581238332128,1.4090559354788297,1.7528283748166726e-5,0.11240218835438331,0.552,0.562,0.30551798573054606,9,Dedicator of cytokinesis 4,7,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,9
IMMP2L,0.88099400664976,1.043603607959467,2.225111906730146e-27,-0.16260960130970703,0.282,0.381,3.878370053430644e-23,9,IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae),7,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,14
NRCAM,2.229999734061654,1.9796849819853135,2.783252705407815e-79,0.25031475207634046,0.83,0.804,4.851209465525821e-75,9,neuronal cell adhesion molecule,7,"Rare Single Gene Mutation, Genetic Association",3,0,5
PRICKLE1,0.17922203780920315,0.1579509899595,0.1956821617522456,0.021271047849703295,0.047,0.052,1,9,Prickle homolog 1 (Drosophila),12,"Rare Single Gene Mutation, Syndromic, Functional",2,0,4
ARID2,0.821293000710781,0.8687400449778945,5.516077378525806e-12,-0.047447044267113214,0.282,0.356,9.61452287077048e-8,9,AT-rich interaction domain 2,12,"Rare Single Gene Mutation, Syndromic",3,1,6
USP15,0.6122396546602008,0.6363015733231735,1.7414333505285054e-8,-0.024061918662972692,0.216,0.269,3.035318329971185e-4,9,ubiquitin specific peptidase 15,12,Rare Single Gene Mutation,2,0,3
AVPR1A,0.004666801406654526,0.00333818224327082,0.4428243427889638,0.0013286191633836387,0.001,0.001,1,9,arginine vasopressin receptor 1A,12,"Rare Single Gene Mutation, Genetic Association",2,0,21
GRIP1,1.0368414171117464,1.0880664637158888,0.028861820762165515,-0.0512250466041424,0.22,0.24,1,9,glutamate receptor interacting protein 1,12,Rare Single Gene Mutation,2,0,13
PTPRB,0.08919115698885377,0.08717874292327112,0.43772192484136,0.0020124140655826267,0.025,0.027,1,9,"protein tyrosine phosphatase, receptor type B",12,"Rare Single Gene Mutation, Genetic Association",3,0,3
KRR1,0.2374180173194645,0.23984928038032535,0.0602823569061222,-0.002431263060860833,0.078,0.088,1,9,"KRR1, small subunit (SSU) processome component, homolog (yeast)",12,"Rare Single Gene Mutation, Genetic Association",3,0,2
CEP290,1.0829385138035643,1.021170860064466,0.8592402038856093,0.061767653739098316,0.405,0.441,1,9,Centrosomal protein 290kDa,12,"Rare Single Gene Mutation, Syndromic",3,1,8
ANKS1B,2.087811761852473,2.2440087150414456,4.874260119529434e-35,-0.15619695318897264,0.768,0.857,8.495835388339804e-31,9,ankyrin repeat and sterile alpha motif domain containing 1B,12,"Rare Single Gene Mutation, Syndromic",3,1,2
GRIN2B,2.3127235086499076,2.342776334407674,3.488470952191905e-5,-0.030052825757766577,0.847,0.897,0.608040486967049,9,"glutamate receptor, inotropic, N-methyl D-apartate 2B",12,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,51
UBN2,0.5033731140492742,0.5570521628570366,1.3166536541863378e-12,-0.05367904880776242,0.17,0.228,2.294927319246787e-8,9,ubinuclein 2,7,Rare Single Gene Mutation,2,0,3
TCF20,1.7491409065624988,1.70356075337848,0.061066428805360715,0.04558015318401876,0.683,0.725,1,9,Transcription factor 20 (AR1),22,"Rare Single Gene Mutation, Syndromic",1,0,10
EP300,0.730765869949313,0.6852102601265504,0.33511728691438025,0.04555560982276252,0.261,0.283,1,9,E1A binding protein p300,22,"Rare Single Gene Mutation, Syndromic",1,0,17
SGSM3,0.11114089183699544,0.11001192702300792,0.10621557856779663,0.0011289648139876235,0.035,0.041,1,9,Small G protein signaling modulator 3,22,Rare Single Gene Mutation,3,0,5
ADSL,0.15697409990696393,0.14738719239308873,0.07903863018205673,0.009586907513875226,0.046,0.054,1,9,adenylosuccinate lyase,22,"Rare Single Gene Mutation, Syndromic",1,0,6
TNRC6B,1.2647918135503422,1.3482419946223152,6.8703651550099465e-15,-0.083450181071973,0.472,0.568,1.1975046465182337e-10,9,Trinucleotide repeat containing 6B,22,Rare Single Gene Mutation,2,0,7
CACNA1I,0.4964003292459701,0.5927435117332757,6.417390758465406e-9,-0.09634318248730545,0.125,0.162,1.1185512092005203e-4,9,"Calcium channel, voltage-dependent, T type, alpha 1I subunit",22,"Rare Single Gene Mutation, Genetic Association",3,0,7
CSNK1E,0.32028296878189927,0.2676332710444062,0.4091975388079356,0.05264969773749295,0.106,0.103,1,9,casein kinase 1 epsilon,22,"Rare Single Gene Mutation, Functional",3,0,5
NUAK1,0.2666643343295172,0.3049262063662461,4.630428268913252e-7,-0.03826187203672893,0.08,0.108,0.008070836472715798,9,"NUAK family, SNF1-like kinase, 1",12,"Rare Single Gene Mutation, Functional",2,0,6
PAH,0.00936509589580221,0.011515436067215293,0.025915362148209997,-0.0021503401714129643,0.002,0.004,1,9,Phenylalanine hydroxylase,12,"Rare Single Gene Mutation, Syndromic",2,0,6
BRAF,0.8540760158484417,0.8599058385606388,2.6272712236812836e-4,-0.005829822712197008,0.317,0.366,1,9,v-raf murine sarcoma viral oncogene homolog B,7,"Rare Single Gene Mutation, Syndromic",1,0,8
SOX5,1.3593615743240428,1.4206672835243648,0.004505966630278279,-0.06130570920032197,0.178,0.201,1,9,SRY-box 5,12,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,13
STYK1,0.008455838833774562,0.012346875755176711,0.22276796382170513,-0.0038910369214021617,0.003,0.004,1,9,Serine/threonine/tyrosine kinase 1,12,"Rare Single Gene Mutation, Genetic Association",3,0,2
CACNA1C,3.877492028713987,3.8223951318183818,4.2417462479477565e-12,0.05509689689560515,0.971,0.975,7.39336371017294e-8,9,"calcium channel, voltage-dependent, L type, alpha 1C subunit",12,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,43
CCDC91,0.7539760793488797,0.7343074081759753,0.010444869174531477,0.019668671172904384,0.265,0.299,1,9,coiled-coil domain containing 91,12,Rare Single Gene Mutation,3,0,4
SETD2,0.2726997879290854,0.25495280221914807,0.0166994951252712,0.017746985709937435,0.085,0.099,1,9,SET domain containing 2,3,"Rare Single Gene Mutation, Syndromic",1,0,11
RHEB,0.5270381918622308,0.5013825873810114,0.03200805081583588,0.025655604481219396,0.172,0.194,1,9,"Ras homolog, mTORC1 binding",7,Syndromic,NA,1,1
KMT2C,1.4529107625559754,1.4849445708784597,5.336106115306596e-5,-0.03203380832248448,0.564,0.641,0.9300832958979397,9,Lysine (K)-specific methyltransferase 2C,7,"Rare Single Gene Mutation, Syndromic",1,0,15
DPP6,2.9919841018505213,3.0931823603239246,1.2961951099994549e-12,-0.10119825847340325,0.94,0.958,2.25926807672905e-8,9,dipeptidyl-peptidase 6,7,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,24
UBE3C,0.4530344526168525,0.47821636876011064,1.5225395411369885e-6,-0.02518191614325821,0.157,0.195,0.02653786420201771,9,Ubiquitin protein ligase E3C,7,Rare Single Gene Mutation,2,0,4
ZMYND11,2.1705644271789697,2.097222994565294,2.3095891308498567e-5,0.0733414326136761,0.805,0.839,0.40256138550713,9,"Zinc finger, MYND-type containing 11",10,"Rare Single Gene Mutation, Syndromic",2,0,10
DIP2C,3.2523605854761426,3.279682515431071,2.0638421487661696e-4,-0.027321929954928326,0.971,0.974,1,9,disco interacting protein 2 homolog C,10,Rare Single Gene Mutation,2,0,2
WAC,0.5728305506240652,0.5784315309735472,1.5487808622957353e-4,-0.0056009803494818655,0.2,0.237,1,9,WW domain containing adaptor with coiled-coil,10,"Rare Single Gene Mutation, Syndromic",1,0,17
CACNB2,0.9530165658638102,0.9033053845709863,0.03171632825588133,0.049711181292823814,0.304,0.299,1,9,"Calcium channel, voltage-dependent, beta 2 subunit",10,"Rare Single Gene Mutation, Genetic Association",2,0,4
AKAP9,1.2450172469507959,1.2798052438332839,3.8447349535892535e-8,-0.034787996882488015,0.47,0.552,6.701373024106069e-4,9,A kinase (PRKA) anchor protein 9,7,Rare Single Gene Mutation,2,0,5
DLX6,0.29739893872974055,0.2509535398171195,0.2376777189060573,0.046445398912621116,0.094,0.09,1,9,distal-less homeobox 6,7,Rare Single Gene Mutation,3,0,9
ICA1,0.5440929088304033,0.6370526953453259,1.0796253140984507e-18,-0.09295978651492287,0.183,0.254,1.8817869224735997e-14,9,islet cell autoantigen 1,7,Rare Single Gene Mutation,2,0,8
NXPH1,0.866371077963522,1.0162716762460768,1.2395803037436204e-4,-0.14990059828255486,0.117,0.141,1,9,neurexophilin 1,7,Rare Single Gene Mutation,3,0,5
AGMO,0.6360506861208453,0.547214662258332,0.007008221231817539,0.08883602386251344,0.197,0.183,1,9,alkylglycerol monooxygenase,7,"Rare Single Gene Mutation, Genetic Association",3,0,6
MPP6,0.8027884225533461,0.7821267594993356,0.010366998427852906,0.020661663054010515,0.284,0.321,1,9,membrane palmitoylated protein 6,7,Rare Single Gene Mutation,3,0,3
NFE2L3,0.40903884507626326,0.13772792569221348,7.904945898368891e-69,0.2713109193840497,0.14,0.051,1.3778320700856976e-64,9,"nuclear factor, erythroid 2 like 3",7,Rare Single Gene Mutation,2,0,3
TBC1D5,1.3675727028089597,1.5219706671982287,1.4086440883494998e-28,-0.154397964389269,0.536,0.655,2.4552666459931783e-24,9,"TBC1 domain family, member 5",3,"Rare Single Gene Mutation, Genetic Association",3,0,8
KAT2B,0.7684442552973927,0.7330761871205241,0.2631646817015583,0.03536806817686855,0.271,0.293,1,9,K(lysine) acetyltransferase 2B,3,Rare Single Gene Mutation,2,0,6
CX3CR1,0.003250413056639321,0.0019543349001419604,0.4713925708375944,0.001296078156497472,0.002,0.001,1,9,Chemokine (C-X3-C motif) receptor 1,3,"Rare Single Gene Mutation, Functional",3,0,3
CTNNB1,0.9059703960509041,0.8801246980565915,0.015534666575790957,0.02584569799431269,0.323,0.369,1,9,catenin beta 1,3,"Rare Single Gene Mutation, Syndromic",1,0,21
CNTNAP2,3.632930660168883,3.911160132224988,5.09325032511503e-165,-0.27822947205610493,0.965,0.975,8.877535316675497e-161,9,contactin associated protein-like 2,7,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,1,66
RALA,0.5978923018989095,0.5993642732472383,0.0013126359496061766,-0.001471971348328771,0.209,0.242,1,9,RAS like proto-oncogene A,7,Syndromic,NA,1,2
CDH10,2.055813555669306,2.13984866720369,2.8659546944051735e-12,-0.08403511153438403,0.729,0.81,4.9953590323482174e-8,9,"cadherin 10, type 2 (T2-cadherin)",5,"Rare Single Gene Mutation, Genetic Association",3,0,10
CDH9,2.3903675543036895,2.615188453507777,6.284283054839729e-63,-0.22482089920408743,0.706,0.837,1.0953505364585647e-58,9,"cadherin 9, type 2 (T1-cadherin)",5,"Rare Single Gene Mutation, Genetic Association",3,0,7
ELOVL2,0.18730087309570295,0.183411621555447,0.056768243015071114,0.0038892515402561,0.047,0.054,1,9,ELOVL fatty acid elongase 2,6,Genetic Association,3,0,1
JARID2,1.8119234617157582,1.790154718103619,0.5504347644581015,0.021768743612139207,0.705,0.764,1,9,jumonji and AT-rich interaction domain containing 2,6,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,11
ALDH5A1,0.20095270333173743,0.16804639043294176,0.6663010928364247,0.032906312898795725,0.058,0.061,1,9,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase )",6,"Rare Single Gene Mutation, Syndromic",1,0,10
TRIO,1.6545897616362433,1.6527499003515365,0.09764627516209572,0.0018398612847068119,0.634,0.696,1,9,Trio Rho guanine nucleotide exchange factor,5,"Rare Single Gene Mutation, Syndromic",1,0,23
CTNND2,3.426164953604266,3.4548293189764263,2.019037668716138e-6,-0.028664365372160105,0.977,0.984,0.035191826565722284,9,"Catenin (cadherin-associated protein), delta 2",5,Rare Single Gene Mutation,2,0,5
SEMA5A,0.32435334786924563,0.30616384201543767,0.6101902715623878,0.018189505853807908,0.068,0.071,1,9,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",5,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,17
ABCA13,0.0047173500758337285,0.0059125735355578645,0.17487688254054032,-0.001195223459724241,0.002,0.003,1,9,ATP binding cassette subfamily A member 13,7,"Rare Single Gene Mutation, Functional",3,0,6
DDC,0.006176237821903162,0.017198349892495152,0.0036478942065241407,-0.011022112070591904,0.002,0.006,1,9,dopa decarboxylase,7,Genetic Association,3,0,2
GABBR2,1.8196424484330371,1.8475682097623123,0.010958585928932016,-0.027925761329275156,0.615,0.67,1,9,gamma-aminobutyric acid type B receptor subunit 2,9,"Rare Single Gene Mutation, Syndromic, Functional",3,1,10
